=== micron memory benchmark ===
buffers: 16 MiB src + 16 MiB dst, 64-byte aligned
warmup 8 reps; 7 measurements per cell; median reported
perf events: cycles + instructions + branches + branch-misses (bbench 4-event group)

[memcpy] dst=src+1MiB, hot cache, dst aligned 64, src aligned 64
   size(B)  routine               bytes/op  cyc/byte       IPC  lat(cyc)    bmiss%
     65536  simd::memcpy256          65536      0.13      1.49      8252      0.05
     65536  simd::amemcpy128         65536      0.13      2.92      8414      0.02
     65536  simd::amemcpy256         65536      0.13      1.49      8272      0.05
     65536  simd::ntmemcpy128        65536      0.20      1.90     12920      0.02
     65536  simd::ntmemcpy256        65536      0.19      0.99     12449      0.05
   1048576  mc::memcpy             1048576      0.23      0.82    239384      0.00
   1048576  simd::memcpy128        1048576      0.23      1.63    241543      0.00
   1048576  simd::memcpy256        1048576      0.23      0.82    239253      0.00
   1048576  simd::amemcpy128       1048576      0.23      1.63    241960      0.00
   1048576  simd::amemcpy256       1048576      0.23      0.82    239060      0.00
   1048576  simd::ntmemcpy128      1048576      0.21      1.79    219221      0.00
   1048576  simd::ntmemcpy256      1048576      0.20      0.94    209768      0.00

[memset] dst aligned 64, hot cache
   size(B)  routine               bytes/op  cyc/byte       IPC  lat(cyc)    bmiss%
----------------------------------------------------------------------------------
        16  mc::memset                  16      0.22      5.43         3      0.00
        16  simd::memset128             16      0.31      3.77         5      0.00
        16  simd::amemset128            16      0.32      3.76         5      0.00
        64  mc::memset                  64      0.07      5.09         4      0.00
        64  simd::memset128             64      0.08      4.91         5      0.00
        64  simd::memset256             64      0.07      4.44         4      0.00
        64  simd::amemset128            64      0.08      5.00         5      0.00
       256  mc::memset                 256      0.05      3.17        12      0.00
