# bench=memory_detail
# l3_bytes=20971520
# ring_bytes=134217728
# k=5 warmup=1 cpu=0
op,impl,size,dst_align,src_align,mode,delta,cyc_per_byte,gib_s
memcpy,libc,34,0,0,hot,0,0.0885,31.54
memcpy,raw32,34,0,0,hot,0,0.1169,23.93
memmove,micron,34,0,0,hot,0,0.1334,20.86
memmove,libc,34,0,0,hot,0,0.0891,31.16
memset0,micron,34,0,0,hot,0,0.0668,41.32
memset0,libc,34,0,0,hot,0,0.1106,25.28
memset5A,micron,34,0,0,hot,0,0.2174,12.83
memcpy,micron,35,0,0,hot,0,0.1128,24.74
memcpy,libc,35,0,0,hot,0,0.0860,32.48
memcpy,raw32,35,0,0,hot,0,0.1126,24.82
memmove,micron,35,0,0,hot,0,0.1281,21.79
memmove,libc,35,0,0,hot,0,0.0855,32.65
memset0,micron,35,0,0,hot,0,0.0641,43.48
memset0,libc,35,0,0,hot,0,0.1072,26.05
memset5A,micron,35,0,0,hot,0,0.1073,26.07
memcpy,micron,36,0,0,hot,0,0.1106,25.22
memcpy,libc,36,0,0,hot,0,0.0833,33.60
memcpy,raw32,36,0,0,hot,0,0.1236,22.41
memmove,micron,36,0,0,hot,0,0.1393,19.97
memmove,libc,36,0,0,hot,0,0.0840,33.14
memset0,micron,36,0,0,hot,0,0.0622,44.85
memset0,libc,36,0,0,hot,0,0.1039,26.88
memset5A,micron,36,0,0,hot,0,0.1037,26.95
memcpy,micron,37,0,0,hot,0,0.1064,26.24
memcpy,libc,37,0,0,hot,0,0.0807,34.59
memcpy,raw32,37,0,0,hot,0,0.1058,26.41
memmove,micron,37,0,0,hot,0,0.1217,22.95
memmove,libc,37,0,0,hot,0,0.0807,34.60
memset0,micron,37,0,0,hot,0,0.0608,45.96
memset0,libc,37,0,0,hot,0,0.0000,0.00
memset5A,micron,37,0,0,hot,0,0.1014,27.55
memcpy,micron,38,0,0,hot,0,0.1037,26.98
memcpy,libc,38,0,0,hot,0,0.0790,35.36
memcpy,raw32,38,0,0,hot,0,0.1047,26.68
memmove,micron,38,0,0,hot,0,0.1367,20.38
memmove,libc,38,0,0,hot,0,0.0793,35.21
memset0,micron,38,0,0,hot,0,0.0606,46.23
memset0,libc,38,0,0,hot,0,0.0993,27.88
memset5A,micron,38,0,0,hot,0,0.0995,28.06
memcpy,micron,39,0,0,hot,0,0.1020,27.29
memcpy,libc,39,0,0,hot,0,0.0663,42.54
memcpy,raw32,39,0,0,hot,0,0.1009,27.70
memmove,micron,39,0,0,hot,0,0.1156,24.15
memmove,libc,39,0,0,hot,0,0.0772,36.20
memset0,micron,39,0,0,hot,0,0.0583,47.78
memset0,libc,39,0,0,hot,0,0.0952,29.35
memset5A,micron,39,0,0,hot,0,0.0961,29.05
memcpy,micron,40,0,0,hot,0,0.0994,28.11
memcpy,libc,40,0,0,hot,0,0.0778,35.49
memcpy,raw32,40,0,0,hot,0,0.0984,28.61
memmove,micron,40,0,0,hot,0,0.1138,24.62
memmove,libc,40,0,0,hot,0,0.0765,36.43
memset0,micron,40,0,0,hot,0,0.0545,51.69
memset0,libc,40,0,0,hot,0,0.0518,54.73
memset5A,micron,40,0,0,hot,0,0.0941,29.62
memcpy,micron,41,0,0,hot,0,0.0964,29.05
memcpy,libc,41,0,0,hot,0,0.0934,29.88
memcpy,raw32,41,0,0,hot,0,0.0952,29.16
memmove,micron,41,0,0,hot,0,0.1261,22.11
memmove,libc,41,0,0,hot,0,0.0732,38.18
memset0,micron,41,0,0,hot,0,0.0550,50.75
memset0,libc,41,0,0,hot,0,0.0915,30.55
memset5A,micron,41,0,0,hot,0,0.0918,30.44
memcpy,micron,42,0,0,hot,0,0.0941,29.70
memcpy,libc,42,0,0,hot,0,0.0918,30.43
memcpy,raw32,42,0,0,hot,0,0.0940,29.59
memmove,micron,42,0,0,hot,0,0.1074,26.02
memmove,libc,42,0,0,hot,0,0.0714,38.85
memset0,micron,42,0,0,hot,0,0.0534,52.42
memset0,libc,42,0,0,hot,0,0.0895,31.21
memset5A,micron,42,0,0,hot,0,0.0735,38.21
memcpy,micron,43,0,0,hot,0,0.0620,45.23
memcpy,libc,43,0,0,hot,0,0.0901,30.98
memcpy,raw32,43,0,0,hot,0,0.0913,30.64
memmove,micron,43,0,0,hot,0,0.1047,26.65
memmove,libc,43,0,0,hot,0,0.0701,39.85
memset0,micron,43,0,0,hot,0,0.0527,52.84
memset0,libc,43,0,0,hot,0,0.0876,31.83
memset5A,micron,43,0,0,hot,0,0.0872,32.05
memcpy,micron,44,0,0,hot,0,0.0895,31.17
memcpy,libc,44,0,0,hot,0,0.0886,31.48
memcpy,raw32,44,0,0,hot,0,0.0894,31.27
memmove,micron,44,0,0,hot,0,0.1032,27.08
memmove,libc,44,0,0,hot,0,0.0684,40.63
memset0,micron,44,0,0,hot,0,0.0000,0.00
memset0,libc,44,0,0,hot,0,0.0853,32.72
memset5A,micron,44,0,0,hot,0,0.0850,32.65
memcpy,micron,45,0,0,hot,0,0.0873,31.87
memcpy,libc,45,0,0,hot,0,0.0867,32.14
memcpy,raw32,45,0,0,hot,0,0.1999,13.95
memmove,micron,45,0,0,hot,0,0.1008,27.68
memmove,libc,45,0,0,hot,0,0.0677,41.17
memset0,micron,45,0,0,hot,0,0.0502,55.63
memset0,libc,45,0,0,hot,0,0.0829,33.69
memset5A,micron,45,0,0,hot,0,0.0835,33.46
memcpy,micron,46,0,0,hot,0,0.0865,32.25
memcpy,libc,46,0,0,hot,0,0.0852,32.69
memcpy,raw32,46,0,0,hot,0,0.0939,29.71
memmove,micron,46,0,0,hot,0,0.0979,28.55
memmove,libc,46,0,0,hot,0,0.0652,42.82
memset0,micron,46,0,0,hot,0,0.0494,56.78
memset0,libc,46,0,0,hot,0,0.0817,34.11
memset5A,micron,46,0,0,hot,0,0.0817,34.16
memcpy,micron,47,0,0,hot,0,0.2375,11.74
memcpy,libc,47,0,0,hot,0,0.0832,33.56
memcpy,raw32,47,0,0,hot,0,0.0844,33.11
memmove,micron,47,0,0,hot,0,0.0960,29.10
memmove,libc,47,0,0,hot,0,0.0640,43.59
memset0,micron,47,0,0,hot,0,0.0481,57.97
memset0,libc,47,0,0,hot,0,0.0000,0.00
memset5A,micron,47,0,0,hot,0,0.0803,34.76
memcpy,micron,48,0,0,hot,0,0.0834,33.47
memcpy,libc,48,0,0,hot,0,0.0808,34.48
memcpy,raw32,48,0,0,hot,0,0.0822,34.00
memmove,micron,48,0,0,hot,0,0.0945,29.60
memmove,libc,48,0,0,hot,0,0.0631,44.28
memset0,micron,48,0,0,hot,0,0.0465,60.28
memset0,libc,48,0,0,hot,0,0.0785,35.63
memset5A,micron,48,0,0,hot,0,0.0947,29.35
memcpy,micron,49,0,0,hot,0,0.0803,34.68
memcpy,libc,49,0,0,hot,0,0.0790,35.32
memcpy,raw32,49,0,0,hot,0,0.0806,34.74
memmove,micron,49,0,0,hot,0,0.0918,30.17
memmove,libc,49,0,0,hot,0,0.0620,44.81
memset0,micron,49,0,0,hot,0,0.0000,0.00
memset0,libc,49,0,0,hot,0,0.0766,36.49
memset5A,micron,49,0,0,hot,0,0.0767,36.41
memcpy,micron,50,0,0,hot,0,0.0797,35.06
memcpy,libc,50,0,0,hot,0,0.0775,35.99
memcpy,raw32,50,0,0,hot,0,0.0902,30.88
memmove,micron,50,0,0,hot,0,0.0899,31.06
memmove,libc,50,0,0,hot,0,0.0609,45.71
memset0,micron,50,0,0,hot,0,0.0464,59.92
memset0,libc,50,0,0,hot,0,0.0746,37.40
memset5A,micron,50,0,0,hot,0,0.0752,37.12
memcpy,micron,51,0,0,hot,0,0.0781,35.71
memcpy,libc,51,0,0,hot,0,0.0759,36.71
memcpy,raw32,51,0,0,hot,0,0.0781,35.70
memmove,micron,51,0,0,hot,0,0.0888,31.47
memmove,libc,51,0,0,hot,0,0.0587,47.41
memset0,micron,51,0,0,hot,0,0.0442,62.95
memset0,libc,51,0,0,hot,0,0.0649,43.23
memset5A,micron,51,0,0,hot,0,0.0739,37.82
memcpy,micron,52,0,0,hot,0,0.0748,37.25
memcpy,libc,52,0,0,hot,0,0.0760,36.61
memcpy,raw32,52,0,0,hot,0,0.0765,36.45
memmove,micron,52,0,0,hot,0,0.0866,32.52
memmove,libc,52,0,0,hot,0,0.0579,48.26
memset0,micron,52,0,0,hot,0,0.0452,61.63
memset0,libc,52,0,0,hot,0,0.0722,38.70
memset5A,micron,52,0,0,hot,0,0.0720,38.82
memcpy,micron,53,0,0,hot,0,0.0747,37.36
memcpy,libc,53,0,0,hot,0,0.0732,38.12
memcpy,raw32,53,0,0,hot,0,0.0738,37.80
memmove,micron,53,0,0,hot,0,0.0862,32.25
memmove,libc,53,0,0,hot,0,0.0576,48.59
memset0,micron,53,0,0,hot,0,0.0423,66.00
memset0,libc,53,0,0,hot,0,0.0713,39.15
memset5A,micron,53,0,0,hot,0,0.0709,39.22
memcpy,micron,54,0,0,hot,0,0.0723,38.70
memcpy,libc,54,0,0,hot,0,0.0722,38.62
memcpy,raw32,54,0,0,hot,0,0.0742,37.66
memmove,micron,54,0,0,hot,0,0.0837,33.33
memmove,libc,54,0,0,hot,0,0.0559,49.81
memset0,micron,54,0,0,hot,0,0.0426,65.96
memset0,libc,54,0,0,hot,0,0.0674,41.50
memset5A,micron,54,0,0,hot,0,0.0713,38.99
memcpy,micron,55,0,0,hot,0,0.0625,44.51
memcpy,libc,55,0,0,hot,0,0.0705,39.65
memcpy,raw32,55,0,0,hot,0,0.0711,39.31
memmove,micron,55,0,0,hot,0,0.0824,33.96
memmove,libc,55,0,0,hot,0,0.0545,51.28
memset0,micron,55,0,0,hot,0,0.0413,67.69
memset0,libc,55,0,0,hot,0,0.0685,40.82
memset5A,micron,55,0,0,hot,0,0.0675,41.51
memcpy,micron,56,0,0,hot,0,0.0727,38.37
memcpy,libc,56,0,0,hot,0,0.0703,39.73
memcpy,raw32,56,0,0,hot,0,0.0691,40.45
memmove,micron,56,0,0,hot,0,0.0811,34.53
memmove,libc,56,0,0,hot,0,0.0543,51.40
memset0,micron,56,0,0,hot,0,0.0399,70.00
